ANIO,MES,CONCESION,ENTIDAD PRESTADORA,AEROPUERTO,TIPO PASAJERO,TOTAL PASAJEROS
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,MAZAMARI,NACIONAL,6
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,NAZCA,INTERNACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,NAZCA,NACIONAL,"12,148"
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,RIOJA,INTERNACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,RIOJA,NACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,ROD. DE MENDOZA,INTERNACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,ROD. DE MENDOZA,NACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,SAPOSOA,INTERNACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,SAPOSOA,NACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,TINGO MARIA,INTERNACIONAL,0
2019,3,AEROPUERTOS NO CONCESIONADOS,CORPORACIÓN PERUANA DE AEROPUERTOS Y AVIACIÓN COMERCIAL S.A.  - CORPAC S.A.,TINGO MARIA,NACIONAL,"1,968"
